fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Tom,Aaron,NULL,NULL,155,NULL,,1978-07-13,5,3,0,NULL,http://ufcstats.com/fighter-details/93fe7332d16c6ad9
Danny,Abbadi,The Assassin,180.34,155,NULL,Orthodox,1983-07-03,4,6,0,NULL,http://ufcstats.com/fighter-details/15df64c02b6b0fde
Nariman,Abbasov,Bayraktar,172.72,155,167.64,Orthodox,1994-02-01,28,4,0,NULL,http://ufcstats.com/fighter-details/59a9d6dac61c2540
David,Abbott,Tank,182.88,265,NULL,Switch,NULL,10,15,0,NULL,http://ufcstats.com/fighter-details/b361180739bed4b0
Hamdy,Abdelwahab,The Hammer,187.96,264,182.88,Southpaw,1993-01-22,5,0,0,1,http://ufcstats.com/fighter-details/3329d692aea4dc28
Mansur,Abdul-Malik,NULL,187.96,185,200.66,Orthodox,1997-10-07,6,0,0,NULL,http://ufcstats.com/fighter-details/841695e02c99a521
Shamil,Abdurakhimov,Abrek,190.5,235,193.04,Orthodox,1981-09-02,20,8,0,NULL,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4
Hiroyuki,Abe,Abe Ani,167.64000000000001,145,NULL,Orthodox,NULL,8,15,3,1,http://ufcstats.com/fighter-details/c0ed7b208197e8de
Daichi,Abe,NULL,180.34,170,180.34,Orthodox,1991-11-27,6,2,0,NULL,http://ufcstats.com/fighter-details/5140122c3eecd307
Papy,Abedi,Makambo,180.34,185,NULL,Southpaw,1978-06-30,10,4,0,NULL,http://ufcstats.com/fighter-details/c9f6385af6df66d7
Ricardo,Abreu,Demente,180.34,185,NULL,Orthodox,1984-04-27,5,1,0,NULL,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd
Klidson,Abreu,White Bear,182.88,205,187.96,Orthodox,1992-12-24,15,4,0,1,http://ufcstats.com/fighter-details/7279654c7674cd24
Cyborg,Abreu,NULL,NULL,NULL,NULL,,1980-12-20,0,0,0,NULL,http://ufcstats.com/fighter-details/f689bd7bbd14b392
Daniel,Acacio,NULL,172.72,180,NULL,Orthodox,1977-12-27,30,18,0,NULL,http://ufcstats.com/fighter-details/1c5879330d42255f
John,Adajar,The Outlaw,175.26,170,190.5,Orthodox,1991-06-22,6,2,0,NULL,http://ufcstats.com/fighter-details/989b85f6540c86b1
Scott,Adams,NULL,182.88,225,NULL,Southpaw,NULL,8,1,0,NULL,http://ufcstats.com/fighter-details/2620f3eb21c79614
Juan,Adams,The Kraken,195.57999999999998,265,203.2,Orthodox,1992-01-16,5,3,0,NULL,http://ufcstats.com/fighter-details/83b00f7597e5ac83
Anthony,Adams,Sugafoot,185.42,185,193.04,Orthodox,1988-01-13,8,2,0,NULL,http://ufcstats.com/fighter-details/a77633a989013265
Zarrukh,Adashev,The Lion,165.1,125,165.1,Southpaw,1992-07-29,4,4,0,NULL,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8
Israel,Adesanya,The Last Stylebender,193.04,185,203.2,Switch,1989-07-22,24,4,0,NULL,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Sam,Adkins,The Experience,190.5,225,NULL,Orthodox,1965-04-26,7,20,2,NULL,http://ufcstats.com/fighter-details/0e9869d712e81f8f
Nick,Agallar,NULL,172.72,155,NULL,Orthodox,1979-01-13,24,6,0,NULL,http://ufcstats.com/fighter-details/ebc5af72ad5a28cb
Mariya,Agapova,Money Mashka,167.64000000000001,125,172.72,Southpaw,1997-04-07,10,5,0,NULL,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
Kantharaj,Agasa,Kannadiga,NULL,135,NULL,,1992-02-16,12,3,0,NULL,http://ufcstats.com/fighter-details/26f4288e83188c61
Marcelo,Aguiar,NULL,177.8,170,NULL,Orthodox,NULL,2,3,1,NULL,http://ufcstats.com/fighter-details/44aa652b181bcf68
Fabio,Aguiar,NULL,182.88,185,NULL,,1988-02-10,17,1,0,NULL,http://ufcstats.com/fighter-details/501821d7fb7b95c1
Edwin,Aguilar,Tigre,177.8,185,NULL,,NULL,26,19,0,1,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015
Jessica,Aguilar,Jag,160.02,115,160.02,Orthodox,1982-05-08,20,8,0,NULL,http://ufcstats.com/fighter-details/8f382b3baa954d2a
Kevin,Aguilar,Angel of Death,170.18,155,185.42,Orthodox,1988-09-07,17,5,0,NULL,http://ufcstats.com/fighter-details/cf946e03ba2e7666
Jesus,Aguilar,NULL,162.56,125,157.48,Orthodox,1996-03-13,11,2,0,NULL,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Christian,Aguilera,The Beast,175.26,170,182.88,Switch,1991-11-25,14,8,0,NULL,http://ufcstats.com/fighter-details/ae071698e1a3ccd4
Nick,Aguirre,Slick,175.26,135,187.96,Southpaw,1996-01-15,7,2,0,NULL,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
Mike,Aina,Iron,175.26,155,NULL,Orthodox,NULL,14,6,1,1,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a
Ashiek,Ajim,Peak Physique,172.72,135,180.34,Switch,1994-06-19,6,2,0,NULL,http://ufcstats.com/fighter-details/49dea784f6cfed71
Hitomi,Akano,Girlfight Monster,162.56,135,NULL,Southpaw,1974-07-27,18,10,0,NULL,http://ufcstats.com/fighter-details/2eada40ac8801559
Omari,Akhmedov,Wolverine,182.88,185,185.42,Orthodox,1987-10-12,21,6,1,NULL,http://ufcstats.com/fighter-details/16690d100f995f8f
Yoshihiro,Akiyama,NULL,177.8,170,190.5,Orthodox,1975-07-29,14,6,0,2,http://ufcstats.com/fighter-details/b0550072e5f0afa7
Rostem,Akman,NULL,177.8,170,182.88,Switch,1991-12-19,6,2,0,NULL,http://ufcstats.com/fighter-details/1fc64507a0cb38cf
Razak,Al-Hassan,NULL,187.96,205,NULL,Orthodox,1982-05-14,13,5,0,NULL,http://ufcstats.com/fighter-details/38b50fd1e1b5b656
Abdul-Kareem,Al-Selwady,Pride of Palestine,172.72,155,175.26,Orthodox,1995-04-10,15,4,0,NULL,http://ufcstats.com/fighter-details/597499ac7a5aac62
Mostapha,Al-Turk,NULL,187.96,245,195.58,Orthodox,1973-07-14,6,6,0,NULL,http://ufcstats.com/fighter-details/1cf1310684a841f5
Herdem,Alacabek,NULL,187.96,205,190.5,Orthodox,1991-06-07,5,1,0,NULL,http://ufcstats.com/fighter-details/7578cc6bd750206b
Javi,Alanis,NULL,167.64000000000001,135,NULL,,NULL,0,4,0,NULL,http://ufcstats.com/fighter-details/2144954270be834d
Alatengheili,NULL,The Mongolian Knight,165.1,135,167.64,Orthodox,1991-12-14,17,9,2,NULL,http://ufcstats.com/fighter-details/1897b7b913736a7c
Amir,Albazi,The Prince,165.1,125,172.72,Orthodox,1993-10-27,17,1,0,NULL,http://ufcstats.com/fighter-details/6d35bf94f7d30241
Brett,Albee,NULL,NULL,225,NULL,,NULL,3,2,0,NULL,http://ufcstats.com/fighter-details/9b28292abe3166d5
John,Albert,Prince,172.72,135,172.72,Orthodox,1986-10-13,6,5,0,NULL,http://ufcstats.com/fighter-details/7bd94b60d7521e4a
Junior,Albini,Baby,190.5,264,187.96,Orthodox,1991-03-15,14,6,0,NULL,http://ufcstats.com/fighter-details/c482c8605455a213
Wes,Albritton,NULL,177.8,188,NULL,Orthodox,NULL,0,1,0,NULL,http://ufcstats.com/fighter-details/184b955181bdef52
Aleksandra,Albu,Stitch,157.48000000000002,115,160.02,Orthodox,1990-07-14,3,2,0,NULL,http://ufcstats.com/fighter-details/e76d9f656ceb82ab
Israel,Albuquerque,NULL,NULL,185,NULL,Orthodox,NULL,0,3,0,NULL,http://ufcstats.com/fighter-details/dd1b90eea08887f6
Juan,Alcain,NULL,NULL,NULL,NULL,,NULL,1,2,0,NULL,http://ufcstats.com/fighter-details/39f62b833e4cf126
Iuri,Alcantara,Marajo,175.26,135,180.34,Southpaw,1980-08-04,35,10,0,1,http://ufcstats.com/fighter-details/2f95a3c6d58b2aad
Ildemar,Alcantara,Marajo,187.96,185,198.12,Orthodox,1982-11-18,21,11,0,NULL,http://ufcstats.com/fighter-details/7c6e87729e824ef4
Alfonso,Alcarez,NULL,160.02,145,NULL,,1970-06-10,1,3,1,NULL,http://ufcstats.com/fighter-details/1e38bba6738b7b10
Gilbert,Aldana,El Peligro,185.42,250,NULL,Orthodox,1977-08-25,6,2,0,NULL,http://ufcstats.com/fighter-details/d26934530dc5b248
Irene,Aldana,NULL,175.26,135,172.72,Orthodox,1988-03-26,15,8,0,NULL,http://ufcstats.com/fighter-details/578ef12674df1e6a
Hector,Aldana,NULL,180.34,170,182.88,Orthodox,1988-08-17,4,3,0,NULL,http://ufcstats.com/fighter-details/c487223b0289bda9
Jose,Alday,Pochito,170.18,135,172.72,Orthodox,1991-09-14,14,6,1,NULL,http://ufcstats.com/fighter-details/7460ddef986d3144
Jose,Aldo,NULL,170.18,135,177.8,Orthodox,1986-09-09,32,8,0,NULL,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ,Aldrich,NULL,165.1,125,170.18,Southpaw,1992-09-29,13,7,0,NULL,http://ufcstats.com/fighter-details/6fd953151d981979
Irina,Alekseeva,Russian Ronda,172.72,135,170.18,Orthodox,1990-06-27,5,2,0,NULL,http://ufcstats.com/fighter-details/103e2e33a60683e1
Talita,Alencar,Problem Child,154.94,115,147.32,Orthodox,1990-10-17,5,1,1,NULL,http://ufcstats.com/fighter-details/d35298b6df168456
Jim,Alers,The Beast,175.26,145,180.34,Orthodox,1986-10-14,13,3,0,1,http://ufcstats.com/fighter-details/fe5a9547479396ab
John,Alessio,The Natural,177.8,155,182.88,Orthodox,1979-07-05,35,17,0,2,http://ufcstats.com/fighter-details/7a15f3694c5cbc02
Houston,Alexander,The Assassin,182.88,205,182.88,Orthodox,1972-03-22,17,15,1,2,http://ufcstats.com/fighter-details/0541480fbf719d86
Kenneth,Alexander,The Machine,175.26,155,NULL,Orthodox,1977-09-25,7,6,0,1,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2
Lucas,Alexander,The Lion,180.34,145,185.42,Orthodox,1995-07-28,8,4,0,NULL,http://ufcstats.com/fighter-details/11583163f45c7b31
Marcio,Alexandre Junior,Lyoto,182.88,185,190.5,Southpaw,1989-05-05,17,4,0,NULL,http://ufcstats.com/fighter-details/d53482bef23235ba
Olaf,Alfonso,NULL,187.96,170,NULL,Orthodox,1974-08-06,8,12,0,NULL,http://ufcstats.com/fighter-details/b757c73f443d4fca
Pablo,Alfonso,The Hurricane,172.72,145,NULL,,1983-05-09,9,7,0,NULL,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1
Levi,Alford,NULL,NULL,NULL,NULL,,NULL,1,7,0,NULL,http://ufcstats.com/fighter-details/41b34b7f11f6d085
Bill,Algeo,Senor Perfecto,182.88,145,185.42,Switch,1989-06-09,18,9,0,NULL,http://ufcstats.com/fighter-details/9abc648e76c4493a
Royce,Alger,NULL,177.8,199,NULL,Orthodox,NULL,3,2,0,NULL,http://ufcstats.com/fighter-details/669a3cb6e394f515
Amir,Aliakbari,NULL,190.5,250,NULL,,1984-06-10,10,1,0,NULL,http://ufcstats.com/fighter-details/e17770faae3ca54c
Sultan,Aliev,NULL,180.34,170,187.96,Orthodox,1984-09-17,15,3,0,NULL,http://ufcstats.com/fighter-details/e70de1859b7ee78e
Nurullo,Aliev,Tajik Eagle,177.8,155,182.88,Orthodox,2000-12-08,9,0,0,NULL,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Ikram,Aliskerov,NULL,182.88,185,193.04,Southpaw,1992-12-07,15,2,0,NULL,http://ufcstats.com/fighter-details/b07aed698fba8624
Leon,Aliu,The Albanian Lion,182.88,185,187.96,Orthodox,1989-07-14,10,2,0,NULL,http://ufcstats.com/fighter-details/6db394bf6c3b017c
John,Allan,NULL,185.42,205,190.5,Orthodox,1993-02-22,13,7,0,1,http://ufcstats.com/fighter-details/6ebe96a116e79e52
George,Allen,NULL,187.96,205,NULL,Open Stance,1967-01-13,13,19,2,NULL,http://ufcstats.com/fighter-details/1e13936d708bcff7
Arnold,Allen,Almighty,172.72,145,177.8,Southpaw,1994-01-22,20,3,0,NULL,http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan,Allen,All In,187.96,185,190.5,Orthodox,1995-12-28,24,5,0,NULL,http://ufcstats.com/fighter-details/2f181c0467965b98
Daniel,Allen,NULL,182.88,155,190.5,Southpaw,1992-08-10,5,0,0,NULL,http://ufcstats.com/fighter-details/adf9a901308fb8e3
Ben,Alloway,Blanco,180.34,170,193.04,Orthodox,1981-02-19,18,8,0,NULL,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Asu,Almabayev,Zulfikar,162.56,125,165.1,Orthodox,1994-01-25,20,2,0,NULL,http://ufcstats.com/fighter-details/8d3273573b85be09
Bekzat,Almakhan,The Turan Warrior,170.18,135,172.72,Orthodox,1997-10-08,11,2,0,NULL,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
John,Dave Almanza,The Striker,170.18,125,170.18,Southpaw,2004-03-22,6,1,0,NULL,http://ufcstats.com/fighter-details/088aa1b19b2dc14a
Ricardo,Almeida,Big Dog,182.88,170,187.96,Orthodox,1976-11-29,13,5,0,NULL,http://ufcstats.com/fighter-details/91186547a7f3f758
Magno,Almeida,NULL,182.88,155,NULL,,1985-06-06,10,3,0,1,http://ufcstats.com/fighter-details/d615d6a10a4704cd
Thomas,Almeida,Thominhas,170.18,145,177.8,Southpaw,1991-07-31,22,5,0,NULL,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Ericka,Almeida,NULL,167.64000000000001,115,NULL,Orthodox,1989-03-05,7,3,0,NULL,http://ufcstats.com/fighter-details/67a992d4cff22466
Estefani,Almeida,NULL,162.56,125,NULL,Orthodox,1988-10-17,7,3,0,NULL,http://ufcstats.com/fighter-details/f16ddfa31236efed
Jailton,Almeida,Malhadinho,190.5,205,200.66,Orthodox,1991-06-26,21,3,0,NULL,http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas,Almeida,NULL,180.34,145,180.34,Orthodox,1991-01-31,15,3,0,NULL,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Cesar,Almeida,Cesinha,185.42,185,187.96,Orthodox,1988-03-28,5,1,0,NULL,http://ufcstats.com/fighter-details/64d47ef881a437a4
Mauricio,Alonso,NULL,187.96,170,NULL,,1980-02-27,13,7,0,1,http://ufcstats.com/fighter-details/c6bf75775b278ed8
Sarah,Alpar,Too Sweet,162.56,135,160.02,Southpaw,1991-06-01,9,6,0,NULL,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali,AlQaisi,The Royal Fighter,167.64000000000001,135,172.72,Orthodox,1990-09-23,8,5,0,NULL,http://ufcstats.com/fighter-details/e87a13e02c01331d
Rico,Altamirano,NULL,177.8,170,NULL,,NULL,4,3,0,NULL,http://ufcstats.com/fighter-details/c61b49cec6abd6b9
Victor,Altamirano,El Magnifico,172.72,125,177.8,Switch,1991-01-23,12,4,0,NULL,http://ufcstats.com/fighter-details/dc7927cd622676a7
Mike,Altman,NULL,177.8,185,NULL,Orthodox,NULL,1,4,0,NULL,http://ufcstats.com/fighter-details/c11036da9162cb5f
Patricia,Alujas,The Angel,162.56,115,162.56,Orthodox,1996-05-08,9,3,0,NULL,http://ufcstats.com/fighter-details/430c533614d45813
Sean,Alvarez,NULL,182.88,235,NULL,Orthodox,1971-07-14,4,3,0,NULL,http://ufcstats.com/fighter-details/e741536153227386
Eddie,Alvarez,NULL,175.26,155,175.26,Orthodox,1984-01-11,29,6,0,1,http://ufcstats.com/fighter-details/33a331684283900f
Jaime,Alvarez,NULL,172.72,125,175.26,Orthodox,1988-03-08,6,1,0,NULL,http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel,Alvarez,El Fenomeno,190.5,155,195.58,Orthodox,1993-03-02,21,3,0,NULL,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago,Alves,Pitbull,175.26,170,177.8,Orthodox,1983-10-03,23,15,0,NULL,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Anthony,Alves,NULL,NULL,NULL,NULL,,NULL,1,4,0,NULL,http://ufcstats.com/fighter-details/bd92cf5da5413d2a
Amilcar,Alves,NULL,182.88,170,NULL,Southpaw,1988-08-08,15,12,0,NULL,http://ufcstats.com/fighter-details/dc5a6b2fdb27e7dc
Warlley,Alves,NULL,180.34,185,182.88,Orthodox,1991-01-04,15,8,0,NULL,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael,Alves,The Turn,172.72,155,172.72,Orthodox,1990-11-14,20,12,0,NULL,http://ufcstats.com/fighter-details/029afd138865d20a
Sam,Alvey,Smile'N,187.96,185,190.5,Southpaw,1986-05-06,33,18,1,1,http://ufcstats.com/fighter-details/d156513a19acf856
Andre,Amado,Dida,182.88,154,NULL,Orthodox,NULL,6,4,1,NULL,http://ufcstats.com/fighter-details/20821819c401ced8
Adlan,Amagov,Borz,187.96,170,193.04,Orthodox,1986-10-30,14,2,1,NULL,http://ufcstats.com/fighter-details/1e327b281ef6a745
Maiara,Amanajas dos Santos,NULL,165.1,115,NULL,Southpaw,1987-07-11,7,3,0,NULL,http://ufcstats.com/fighter-details/247fbbfafea60bb1
Chris,Amarante,NULL,NULL,185,NULL,,NULL,2,0,0,NULL,http://ufcstats.com/fighter-details/ee0b69e307c857e5
Jimmy,Ambriz,The Titan,187.96,315,NULL,Southpaw,1970-01-26,17,21,1,NULL,http://ufcstats.com/fighter-details/c912f676692c353a
JJ,Ambrose,NULL,177.8,170,NULL,Orthodox,NULL,28,7,0,2,http://ufcstats.com/fighter-details/d562b12b8fe88336
Alen,Amedovski,NULL,177.8,185,187.96,Orthodox,1988-04-06,8,4,0,NULL,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Hyder,Amil,The Hurricane,175.26,145,177.8,Switch,1990-05-28,10,0,0,NULL,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Hamid,Amiri,The Storm,NULL,145,NULL,,2003-06-15,9,0,0,NULL,http://ufcstats.com/fighter-details/6c40705cf6c0d7e2
Makwan,Amirkhani,Mr. Finland,177.8,145,182.88,Southpaw,1988-11-08,17,9,0,NULL,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Jaqueline,Amorim,NULL,160.02,115,172.72,Orthodox,1995-06-24,9,1,0,NULL,http://ufcstats.com/fighter-details/bc7d1ad49fcb2d08
Bertrand,Amoussou,NULL,172.72,190,NULL,Orthodox,NULL,1,1,0,NULL,http://ufcstats.com/fighter-details/53adf5b845d91e4a
Karl,Amoussou,The Psycho,180.34,185,NULL,Orthodox,1985-11-21,27,7,2,NULL,http://ufcstats.com/fighter-details/23a8c33869bf5392
Eryk,Anders,Ya Boi,185.42,185,190.5,Southpaw,1987-04-21,16,8,0,1,http://ufcstats.com/fighter-details/cad24459b28592ca
Matt,Andersen,NULL,187.96,230,NULL,Southpaw,1971-05-29,14,8,1,NULL,http://ufcstats.com/fighter-details/8738eacd62e82a32
Andy,Anderson,The Hammer,167.64000000000001,240,NULL,,1974-07-16,0,1,0,NULL,http://ufcstats.com/fighter-details/9199e0735b83dd32
Lowell,Anderson,NULL,167.64000000000001,160,NULL,Orthodox,NULL,0,1,0,NULL,http://ufcstats.com/fighter-details/1ffc38f67785797b
Corey,Anderson,Overtime,190.5,205,200.66,Orthodox,1989-09-22,14,5,0,NULL,http://ufcstats.com/fighter-details/5e4eec08896c9423
Derek,Anderson,Barbaric,182.88,155,NULL,,1990-02-02,14,3,0,1,http://ufcstats.com/fighter-details/19ba965651486013
Megan,Anderson,NULL,182.88,145,182.88,Orthodox,1990-02-11,11,5,0,NULL,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
Liam,Anderson,NULL,190.5,185,190.5,Orthodox,1995-01-13,6,3,0,NULL,http://ufcstats.com/fighter-details/b03a0c78ca45facf
Tatsuya,Ando,Kirinji,162.56,145,172.72,Southpaw,1990-04-26,14,4,1,NULL,http://ufcstats.com/fighter-details/17615148dd4be6f6
Alex,Andrade,El Toro,180.34,200,NULL,Orthodox,1974-05-14,10,5,0,NULL,http://ufcstats.com/fighter-details/1562b12763cc8d67
Jessica,Andrade,Bate Estaca,154.94,125,157.48,Orthodox,1991-09-25,26,13,0,NULL,http://ufcstats.com/fighter-details/6a1901c62ab3870f
Viscardi,Andrade,NULL,180.34,170,190.5,Orthodox,1984-03-08,19,6,0,NULL,http://ufcstats.com/fighter-details/d221ee27afc7a60e
Jermaine,Andre,NULL,170.18,200,NULL,Orthodox,NULL,14,4,0,NULL,http://ufcstats.com/fighter-details/9bad58fa651d6196
Juan,Andres Luna,NULL,170.18,125,182.88,Orthodox,1995-08-20,12,1,0,NULL,http://ufcstats.com/fighter-details/1fd9f744105024a8
Fellipe,Andrew,NULL,NULL,NULL,NULL,,1994-10-24,0,0,0,NULL,http://ufcstats.com/fighter-details/7977fb0fd9c5955d
Dylan,Andrews,The Villain,185.42,185,187.96,Switch,1979-11-15,18,7,0,1,http://ufcstats.com/fighter-details/00debc804e2b1cd4
Reese,Andy,Riptide,182.88,205,NULL,Orthodox,1973-03-31,7,3,0,NULL,http://ufcstats.com/fighter-details/46e2ca71fd5089cb
Angga,NULL,The Hitman,170.18,145,172.72,Orthodox,1989-01-13,13,3,0,NULL,http://ufcstats.com/fighter-details/d6a3e131ad4ba064
Julius,Anglickas,NULL,190.5,205,NULL,Orthodox,1991-07-23,5,1,0,NULL,http://ufcstats.com/fighter-details/e20ad078a7d63361
Collin,Anglin,NULL,175.26,145,180.34,Orthodox,1993-02-20,8,3,0,NULL,http://ufcstats.com/fighter-details/047a91d3d9c79b05
Chad,Anheliger,The Monster,167.64000000000001,135,162.56,Orthodox,1986-12-01,13,7,0,NULL,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
Yoji,Anjo,Mr. 200%,180.34,205,NULL,Orthodox,1967-03-28,0,5,1,NULL,http://ufcstats.com/fighter-details/e06fd1260ac865a7
Magomed,Ankalaev,NULL,190.5,205,190.5,Orthodox,1992-06-02,19,1,1,1,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Gadzhimurad,Antigulov,NULL,180.34,205,177.8,Orthodox,1987-02-09,20,8,0,NULL,http://ufcstats.com/fighter-details/af997f7611673880
Adam,Antolin,Captain Chaos,165.1,125,160.02,Orthodox,1982-02-28,12,3,0,NULL,http://ufcstats.com/fighter-details/25b31165758402dd
Angelo,Antonio,NULL,NULL,205,NULL,Orthodox,NULL,1,4,0,NULL,http://ufcstats.com/fighter-details/dbd198f780286aca
Azunna,Anyanwu,Zulu,185.42,251,NULL,Orthodox,1981-08-05,14,5,0,NULL,http://ufcstats.com/fighter-details/78d48d3874dacafd
Shinsho,Anzai,Animal,170.18,170,177.8,Orthodox,1985-12-01,10,3,0,NULL,http://ufcstats.com/fighter-details/4665f9f909cd7214
Shinya,Aoki,Tobikan Judan,180.34,154,NULL,Southpaw,1983-05-09,39,7,0,1,http://ufcstats.com/fighter-details/79ded75550efc139
Aoriqileng,NULL,The Mongolian Murderer,170.18,135,175.26,Orthodox,1993-06-25,25,12,0,1,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Josh,Appelt,NULL,177.8,255,NULL,Southpaw,1983-06-19,15,7,0,NULL,http://ufcstats.com/fighter-details/0c1a04afca64e38f
Erik,Apple,NULL,182.88,170,NULL,Orthodox,1977-08-26,10,3,0,NULL,http://ufcstats.com/fighter-details/1ccff7f0cfdf85eb
Kenji,Arai,NULL,177.8,145,NULL,Southpaw,1979-10-05,15,15,5,NULL,http://ufcstats.com/fighter-details/269d103c96a4c3a5
Romie,Aram,NULL,177.8,170,NULL,Orthodox,1977-12-02,7,1,0,NULL,http://ufcstats.com/fighter-details/73ef22f25d0f70e2
Felipe,Arantes,Sertanejo,172.72,135,185.42,Orthodox,1988-02-09,18,10,1,2,http://ufcstats.com/fighter-details/71002dbc1743b9a7
Igor,Araujo,NULL,185.42,170,195.58,Orthodox,1980-12-06,25,9,0,1,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
Viviane,Araujo,Vivi,162.56,125,172.72,Orthodox,1986-11-21,12,6,0,NULL,http://ufcstats.com/fighter-details/36541f1e6c5d4955
Julio,Arce,NULL,170.18,145,177.8,Southpaw,1989-10-27,19,6,0,NULL,http://ufcstats.com/fighter-details/1291edf2d566a71a
Art,Arciniega,King Arthur,172.72,145,NULL,,1981-10-15,15,7,0,NULL,http://ufcstats.com/fighter-details/d25e39e74efb0a77
Alice,Ardelean,NULL,160.02,115,157.48,Orthodox,1992-04-19,9,6,0,NULL,http://ufcstats.com/fighter-details/87f8699fdcc2c404
Tristan,Arenal,NULL,NULL,155,NULL,,NULL,7,4,0,NULL,http://ufcstats.com/fighter-details/9c9455912d917e4e
Gabriel,Arges,NULL,NULL,170,NULL,,1993-01-29,0,0,0,NULL,http://ufcstats.com/fighter-details/db3c4a884d704efe
Dan,Argueta,The Determined,170.18,135,172.72,Southpaw,1993-08-13,9,2,0,2,http://ufcstats.com/fighter-details/e4ba58725825412d
Reza,Arianto,The Crazy Lion,NULL,155,NULL,,NULL,5,0,0,NULL,http://ufcstats.com/fighter-details/90063913321e7670
Hashem,Arkhagha,NULL,187.96,185,190.5,Orthodox,1989-09-11,6,1,0,NULL,http://ufcstats.com/fighter-details/9a7ffa80766caa51
Andrei,Arlovski,The Pitbull,190.5,240,195.58,Orthodox,1979-02-04,34,24,0,2,http://ufcstats.com/fighter-details/3738e68d2261e60f
Garrett,Armfield,NULL,167.64000000000001,135,177.8,Orthodox,1996-10-09,10,4,0,NULL,http://ufcstats.com/fighter-details/1effd880e1f1bb30
Joey,Armstrong,NULL,NULL,NULL,NULL,,NULL,5,2,0,NULL,http://ufcstats.com/fighter-details/30ad2050273d016a
Austin,Arnett,NULL,182.88,145,182.88,Orthodox,1991-10-22,16,6,0,NULL,http://ufcstats.com/fighter-details/bf0e700106d00e55
Ricardo,Arona,The Brazilian Tiger,180.34,205,NULL,Orthodox,1978-07-17,14,5,0,NULL,http://ufcstats.com/fighter-details/05fbfe628658c538
Eli,Aronov,The Israeli Tank,177.8,185,182.88,Orthodox,1996-06-06,6,1,0,NULL,http://ufcstats.com/fighter-details/a90c200c3fbb22c4
Chalid,Arrab,Die Faust,180.34,205,NULL,Orthodox,1975-05-28,7,3,0,NULL,http://ufcstats.com/fighter-details/770b9d4813c25902
Akbarh,Arreola,El Caballero,177.8,155,180.34,Southpaw,1983-01-14,23,11,1,NULL,http://ufcstats.com/fighter-details/c136b2a8852da5bd
Matt,Arroyo,No Regard,177.8,170,182.88,Orthodox,1982-09-01,3,3,0,NULL,http://ufcstats.com/fighter-details/de62052b2ede65ba
Antonio,Arroyo,NULL,190.5,185,185.42,Orthodox,1989-07-01,9,5,0,NULL,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
Gilles,Arsene,NULL,175.26,190,NULL,Southpaw,NULL,1,1,0,NULL,http://ufcstats.com/fighter-details/2dea80c069847321
Veta,Arteaga,NULL,170.18,125,NULL,,NULL,3,1,0,NULL,http://ufcstats.com/fighter-details/91e3388e69060e69
Cesar,Arzamendia,Goku,180.34,155,NULL,Orthodox,1991-01-31,8,3,0,NULL,http://ufcstats.com/fighter-details/49f78022126bf4a4
Kai,Asakura,NULL,NULL,135,NULL,,1993-10-31,21,4,0,NULL,http://ufcstats.com/fighter-details/d33da8a3d82bdb62
Teddy,Ash,Bear,185.42,185,185.42,Switch,1989-12-27,14,5,0,NULL,http://ufcstats.com/fighter-details/a373085066dbfb54
